code,description,message,cause,troubleshooting,component,equipment,,,
11315,응축 압력이 임계 범위 내에 있을 경우 이 경고가 활성화됩니다.,냉매 압력 높음,"1. 공업용수 유량이 너무 낮음
2. 공업용수 온도가 지정된 운전 한계를 초과함","1. 고객 수배관의 밸브를 확인하고 모두 열려 있는지 확인하십시오.
2. 제품의 공업용수 연결부가 열려 있는지 확인하십시오.
3. 스트레이너의 오염 여부를 확인하고 필요 시 교체하십시오.
4. 냉각수 유량 조절기의 설정을 확인하십시오 (목표 유량은 기술 데이터 참조).
5. 레이저 칠러의 운전 한계 조건을 준수하고 있는지 확인하십시오 (제공된 기술 자료 참조).",공업용수/냉각 호스,LCI Chiller,,,
12002,용접 광학부의 센서가 보호 유리 또는 보호 유리 홀더가 장착되지 않았음을 감지하면 이 메시지가 활성화됩니다.,보호 유리 장착 안 됨,"1. 보호 유리 또는 보호 유리 홀더가 용접 광학부에 장착되어 있지 않음
2. 보호 유리 홀더와 광학부 간 전기적 접촉 이상
3. 용접 광학부 인터페이스와 제어 보드의 전기 연결 ASZ-A1-X1 사이의 연결 케이블 이상","1. 다음 항목을 확인하십시오:보호 유리홀더와보호 유리가 용접 광학부에 장착되어 있는지 확인하십시오. 필요 시보호 유리를 삽입하고보호 유리홀더를 닫으십시오.
2. 용접 광학부 인터페이스로 가는 케이블 연결을 확인하십시오.
3. 연결 케이블의 연속성 시험을 수행하고 필요 시 광학부를 교체하십시오.",보호 유리,Picker,,,
12003,하부 프레셔 피스 홀더의 온도 센서가 알람 한계 온도를 초과했다고 보고하면 이 메시지가 활성화됩니다.,프레셔 피스 홀더 하부 온도,"1. 부적절한 용접 파라미터 선택 시 하부 프레셔 피스 홀더가 과열될 수 있음
2. 하부 프레셔 피스의 냉각 이상
3. 온도 센서 불량","1. 설정된 프로그램 파라미터를 확인하고 필요 시 조정하십시오.
2. 하부 프레셔 피스의 냉각 상태를 확인하고 물 호스가 꺾이지 않았는지 확인하십시오. 필요 시 원인을 수정하십시오.
3. 온도 센서의 동작을 확인하고 필요 시 교체하십시오.
4. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",프레셔 피스/냉각 호스/온도 센서,Picker,,,
12004,레이저 용접 툴(Picker/C-gun)의 흡입 장치의 흡입력이 알람 임계값 이하로 떨어지면 이 메시지가 활성화됩니다.,"흡입력, 용접 툴","1. 흡입 라인이 꺾이거나 분리됨
2. 흡입 시스템의 필터 또는 흡입 라인이 막힘
3. 프레셔 피스, 흡입 호스 또는 레이저 용접 툴(Picker/C-gun)의 샤프트가 막힘
4. 흡입 장치 이상
5. 공정 값에 대한 한계값 설정 오류
6. 센서 이상","1. 흡입 라인이 꺾이거나 분리되었는지 확인하십시오. 필요 시 바로잡고 로봇 이동 중 꺾이거나 분리되지 않도록 하십시오.
2. 메뉴Suction의External탭에서 필터 상태를 확인하고 필요 시 교체하십시오.
3. Clean버튼을 메뉴Suction의External탭에서 클릭하십시오.
4. 필요 시 프레셔 피스와 흡입 라인을 수동으로 청소하고 (프레셔 피스 및 흡입관 수동 청소) 샤프트도 (샤프트 청소) 청소하십시오.
5. 흡입 장치의 오류를 확인하고 문제를 수정하십시오.
6. 필요 시 흡입 호스를 교체하십시오.
7. 메뉴Config를Suction의External탭에서 열어 설정된 범위를 벗어난 파라미터를 확인하고 필요 시 적절한 한계값을 설정하십시오.
8. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",프레셔 피스/샤프트/석션 파이프/석션 호스,Picker,,,
12004,레이저 용접 툴(Picker/C-gun)의 흡입 장치의 흡입력이 알람 임계값 이하로 떨어지면 이 메시지가 활성화됩니다.,"흡입력, 용접 툴","1. 흡입 라인이 꺾이거나 분리됨
2. 흡입 시스템의 필터 또는 흡입 라인이 막힘
3. 프레셔 피스, 흡입 호스 또는 레이저 용접 툴(Picker/C-gun)의 샤프트가 막힘
4. 흡입 장치 이상
5. 공정 값에 대한 한계값 설정 오류
6. 센서 이상","1. 흡입 라인이 꺾이거나 분리되었는지 확인하십시오. 필요 시 바로잡고 로봇 이동 중 꺾이거나 분리되지 않도록 하십시오.
2. 메뉴Suction의External탭에서 필터 상태를 확인하고 필요 시 교체하십시오.
3. Clean버튼을 메뉴Suction의External탭에서 클릭하십시오.
4. 필요 시 프레셔 피스와 흡입 라인을 수동으로 청소하고 (프레셔 피스 및 흡입관 수동 청소) 샤프트도 (샤프트 청소) 청소하십시오.
5. 흡입 장치의 오류를 확인하고 문제를 수정하십시오.
6. 필요 시 흡입 호스를 교체하십시오.
7. 메뉴Config를Suction의External탭에서 열어 설정된 범위를 벗어난 파라미터를 확인하고 필요 시 적절한 한계값을 설정하십시오.
8. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",석션 호스/석션 모터,Fumator,,,
12008,LSS 컨트롤러와 로봇/외부 작업자 제어기 간 통신이 없는 경우 이 메시지가 활성화됩니다.,외부 제어 통신,1. 네트워크 통신 오류,"1. LSS 컨트롤러와 로봇/외부 작업자 제어기 간 연결 라인을 확인하고 필요 시 문제를 조치하십시오.
2. 로봇/외부 작업자 제어기의 인터페이스 설정을 확인하십시오",통신 케이블(XPEIP A),LSS Controller,,,
12008,LSS 컨트롤러와 로봇/외부 작업자 제어기 간 통신이 없는 경우 이 메시지가 활성화됩니다.,외부 제어 통신,1. 네트워크 통신 오류,"1. LSS 컨트롤러와 로봇/외부 작업자 제어기 간 연결 라인을 확인하고 필요 시 문제를 조치하십시오.
2. 로봇/외부 작업자 제어기의 인터페이스 설정을 확인하십시오",통신 케이블(XPEIP A),Robot,,,
12009,LSS 컨트롤러와 레이저 용접 툴(Picker/C-gun) 제어 간 통신이 없는 경우 이 메시지가 활성화됩니다.,레이저 용접 툴 통신,"1. LSS 컨트롤러와 레이저 용접 툴 제어 간 제어 라인 이상
2. 레이저 용접 툴 제어 보드 이상
3. LSS 컨트롤러 이상","1. LSS 컨트롤러와 레이저 용접 툴 간 연결 및 제어 라인을 확인하고 필요 시 문제를 조치하십시오.
2. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",통신 케이블(1XLZ1),LSS Controller,,,
12009,LSS 컨트롤러와 레이저 용접 툴(Picker/C-gun) 제어 간 통신이 없는 경우 이 메시지가 활성화됩니다.,레이저 용접 툴 통신,"1. LSS 컨트롤러와 레이저 용접 툴 제어 간 제어 라인 이상
2. 레이저 용접 툴 제어 보드 이상
3. LSS 컨트롤러 이상","1. LSS 컨트롤러와 레이저 용접 툴 간 연결 및 제어 라인을 확인하고 필요 시 문제를 조치하십시오.
2. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",통신 케이블(1XLZ1),Picker,,,
12010,LSS 컨트롤러와 Z-Drive 컨트롤러 간 통신이 없는 경우 이 메시지가 활성화됩니다.,Z-Drive 제어 시스템 통신,"1. Z-Drive 제어와 제어 시스템 컨트롤러 간 CAN 통신 오류
2. LSS 컨트롤러와 제어 시스템 컨트롤러 간 엔코더 케이블 이상","1. Z-Drive 제어와 제어 시스템 컨트롤러 간 내부 모니터링 상태를 초기화하기 위해 LSS 컨트롤러를 재시작하십시오.
2. LSS 컨트롤러와 Z-Drive 컨트롤러 간 연결 및 제어 라인을 확인하고 필요 시 문제를 조치하십시오.
3. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",Z-drive 컨트롤러/통신 케이블(1XG1 1XG2),LSS Controller,,,
12010,LSS 컨트롤러와 Z-Drive 컨트롤러 간 통신이 없는 경우 이 메시지가 활성화됩니다.,Z-Drive 제어 시스템 통신,"1. Z-Drive 제어와 제어 시스템 컨트롤러 간 CAN 통신 오류
2. LSS 컨트롤러와 제어 시스템 컨트롤러 간 엔코더 케이블 이상","1. Z-Drive 제어와 제어 시스템 컨트롤러 간 내부 모니터링 상태를 초기화하기 위해 LSS 컨트롤러를 재시작하십시오.
2. LSS 컨트롤러와 Z-Drive 컨트롤러 간 연결 및 제어 라인을 확인하고 필요 시 문제를 조치하십시오.
3. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",통신 케이블(1XG1 1XG2),Picker,,,
12012,Z-Drive에서 하나 이상의 알람이 발생하면 이 메시지가 활성화됩니다.,Z-drive,"1. 모터 또는 엔코더 케이블 이상
2. 모터 이상
3. 컨트롤러 이상
4. 팔로잉 에러","1. 메뉴Welding tool에서Z-Drive탭을 열어 Z-Drive 컨트롤러의 상태 코드를 확인하십시오.
2. 해당 코드를 Z-drive 제조사(Parker Hannifin Corp)의 제품 문서와 비교하십시오.
3. 문제 해결을 위해 Parker 제품 문서에 설명된 절차에 따라 조치하십시오.
4. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",Z-drive/통신 케이블(1XG1 1XG2),Picker,,,
12012,Z-Drive에서 하나 이상의 알람이 발생하면 이 메시지가 활성화됩니다.,Z-drive,"1. 모터 또는 엔코더 케이블 이상
2. 모터 이상
3. 컨트롤러 이상
4. 팔로잉 에러","1. 메뉴Welding tool에서Z-Drive탭을 열어 Z-Drive 컨트롤러의 상태 코드를 확인하십시오.
2. 해당 코드를 Z-drive 제조사(Parker Hannifin Corp)의 제품 문서와 비교하십시오.
3. 문제 해결을 위해 Parker 제품 문서에 설명된 절차에 따라 조치하십시오.
4. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",통신 케이블(1XG1 1XG2),LSS Controller,,,
12013,Seam drive가 동작하지 않을 경우 이 메시지가 표시됩니다.,Seam drive,"1. Seam drive와의 통신 없음
2. 타이밍 벨트 이상
3. Seam drive(모터) 이상
4. 메뉴
5. Seam drive 기계적 간섭 또는 막힘","1. LSS 컨트롤러를TEST모드로 전환하고 접근 권한을Maintenance로 설정하십시오.
2. Welding tool창에서Seam drive탭을 선택하십시오. 표시되는 위치를 확인하고 Seam drive를 수동으로 구동하십시오.
3. 레이저 용접 툴 커버를 열고 벨트 손상 여부를 확인한 후 필요 시 교체하십시오.
4. 메뉴Welding tool에서Seam Drive탭을 열어 오류 코드를 확인하십시오. 해당 상태 코드를 IPG 서비스 부서에 전달하십시오.
5. Seam drive 이동 경로에 장애물이 있는지 확인하십시오.
6. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",Seam drive/타이밍 벨트/Seam drive 이동경로,Picker,,,
12014,Wobble drive에서 누적 오류가 발생하면 이 메시지가 활성화됩니다.,Wobble drive,1. 메뉴Wobble drive탭(Welding tool메뉴)에서 오류 코드 확인,"1. 메뉴Welding tool에서Wobble Drive탭을 열어 Wobble drive의 오류 코드를 확인하십시오.
2. 오류 코드를 확인한 후 해당 내용을 IPG 서비스 부서에 전달하십시오.",Wobble drive,Picker,,,
12016,활성 용접 프로그램(번호 X)이 오류로 인해 중단되면 이 메시지가 활성화됩니다. 시작된 용접 작업이 오류 없이 완료되지 않았습니다.,프로그램 {0} 중단됨,1. 이 메시지는 항상 보다 상세한 원인을 설명하는 다른 메시지와 함께 표시됩니다.,"1. 메뉴Messages를 열고 어떤 다른 메시지가 발생했는지 확인하십시오.
2. 먼저 해당 메시지들의 원인을 해결한 후 메시지를 리셋하십시오.
3. 용접 프로그램을 다시 시작하십시오.",세이프티,LSS Controller,,,
12016,활성 용접 프로그램(번호 X)이 오류로 인해 중단되면 이 메시지가 활성화됩니다. 시작된 용접 작업이 오류 없이 완료되지 않았습니다.,프로그램 {0} 중단됨,1. 이 메시지는 항상 보다 상세한 원인을 설명하는 다른 메시지와 함께 표시됩니다.,"1. 메뉴Messages를 열고 어떤 다른 메시지가 발생했는지 확인하십시오.
2. 먼저 해당 메시지들의 원인을 해결한 후 메시지를 리셋하십시오.
3. 용접 프로그램을 다시 시작하십시오.",세이프티/제어 파라미터,Robot,,,
12017,로봇에서 전달되는 시작 신호(Start1및Start2)가 끊어지거나 신호 사이 간격이 500 ms를 초과할 경우 이 메시지가 활성화됩니다.,시작 신호 손실,"1. 신호Start 1과Start 2가 동시에 입력되지 않음
2. 신호Start 1과Start 2가 너무 일찍 해제됨","1. 두 개의 시작 신호를 동시에 입력하십시오.
2. 응답 신호Sequence completed가 출력될 때까지 두 개의 시작 신호를 유지하십시오.",Start 신호,Robot,,,
12018,LSS 컨트롤러 전원을 켠 후 클램핑 힘 평가용 출력 신호 점검이 정상적으로 완료되지 않으면 이 메시지가 활성화됩니다. 이 오류는 치명적인 오류로 리셋할 수 없습니다.,클램핑 힘 스위치 온 테스트,"1. LSS 컨트롤러 이상
2. 케이블 이상","1. LSS 컨트롤러를 몇 초 후 다시 껐다가 켜십시오.
2. 문제가 지속되면 해당 IPG 서비스 부서에 문의하십시오.",LSS Controller,LSS Controller,,,
12200,파이버 커플러의 센서가 파이버 커넥터 또는 피딩 파이버와의 접촉이 없음을 감지하면 이 메시지가 활성화됩니다.,피딩 파이버 인터록,"1. 피딩 파이버가 파이버 커플러에 삽입되지 않았거나 올바르게 연결되지 않음.
2. 파이버 리시버 온도가 너무 높음","1. 피딩 파이버가 파이버 커플러에 올바르게 삽입되어 있고 베요넷 잠금이 제대로 체결되었는지 확인하십시오.
2. 파이버 커플러의 파이버 리시버 온도를 확인하십시오. 온도가 70°C에 도달하면 파이버 수용부의 온도 센서가 안전 회로를 차단합니다.
3. 파이버 리시버 온도가 높은 경우 냉각수 유량을 확인하십시오.",Coupler/피딩 파이버,LSS Controller,,,
